,ResponseName,ReleaseDate,RequiredAge,DLCCount,Metacritic,MovieCount,RecommendationCount,ScreenshotCount,SteamSpyOwners,SteamSpyPlayersEstimate,PriceFinal,GenreScore,PlatformScore,CategoryScore
2603,Fester Mudd: Curse of the Gold - Episode 1,Nov 4 2013,0,0,76,1,0,6,37125,6277,9.99,1,3,1
2604,Neverending Nightmares,Sep 26 2014,0,0,68,1,1469,6,108148,54522,14.99,3,3,1
2605,Tiny Barbarian DX,Dec 3 2013,0,0,0,2,177,19,26185,14527,9.99,2,2,1
2606,Axis Game Factorys AGFPRO v3,Nov 19 2013,0,6,0,14,301,61,124469,49859,19.99,1,3,1
2607,Hot Tin Roof: The Cat That Wore A Fedora,Feb 20 2015,0,1,66,1,0,5,11837,5919,4.94,4,3,1
2608,Ravensword: Shadowlands,Dec 6 2013,0,0,0,1,414,6,186882,26902,6.99,4,3,1
2609,CastleMiner Z,Feb 3 2014,0,0,0,1,4231,11,254318,217551,3.99,3,1,3
2610,CABAL Online,Feb 17 2016,0,0,0,2,470,9,206252,115860,0.0,4,1,2
2611,WARMACHINE: Tactics,Nov 20 2014,0,4,0,2,841,23,266155,91648,0.0,2,2,2
2612,Gentlemen!,Nov 5 2013,0,0,0,1,129,5,42147,21881,1.24,2,3,1
2613,Wrack,Sep 30 2014,0,1,0,1,414,12,41430,26902,9.99,2,1,2
2614,Steam Marines,Sep 24 2014,0,0,0,1,280,7,108865,60800,19.99,3,3,1
2615,Sparkle 2 Evo,Oct 24 2013,0,0,0,1,1699,7,224546,169665,4.99,4,3,1
2616,Aartform Curvy 3D 3.0,Nov 12 2013,0,0,0,1,0,9,2511,1614,99.99,1,1,1
2617,Tiny Brains,Dec 11 2013,0,0,0,2,294,16,51115,30310,9.99,4,1,3
2618,theHunter,Jun 3 2014,0,3,0,1,19923,5,4234444,2630520,0.0,5,1,3
2619,Ikaruga,Feb 18 2014,0,0,84,2,995,6,98463,81604,9.99,2,1,2
2620,Bus-Simulator 2012,Nov 22 2013,0,0,0,1,600,19,39636,33359,9.99,1,1,2
2621,rymdkapsel,Jan 30 2014,0,0,77,1,174,5,14707,13093,7.99,2,3,1
2622,Earth 2140,Nov 15 2013,0,0,0,1,114,7,92903,17576,4.99,1,2,1
2623,Earth 2150 Trilogy,Nov 1 2013,0,0,78,2,212,20,195670,59365,6.99,1,2,3
2624,Knights and Merchants,Oct 14 2013,0,0,0,1,1872,6,1008483,415015,6.99,2,3,2
2625,Gorky 17,Sep 27 2013,17,0,0,1,610,5,522087,81783,4.99,2,3,1
2626,Septerra Core,Sep 27 2013,0,0,72,1,342,5,314759,110838,4.99,1,2,1
2627,Jack Orlando: Directors Cut,Oct 4 2013,0,0,0,1,207,10,92544,27979,4.99,1,2,1
2628,Enclave,Oct 4 2013,17,0,71,1,4203,8,1468156,603511,4.99,1,2,1
2629,KnightShift,Sep 27 2013,0,0,0,1,499,9,773535,102409,6.99,2,1,2
2630,World War III: Black Gold,Sep 27 2013,0,0,71,2,168,11,149040,23853,4.99,1,2,2
2631,World War II: Panzer Claws,Sep 27 2013,0,0,61,1,105,7,258801,25647,4.99,1,2,2
2632,FortressCraft Evolved!,Nov 9 2015,0,3,0,2,1398,17,112273,98284,12.99,6,3,5
2633,Duskers,May 18 2016,0,0,83,5,542,12,34076,31566,19.99,2,3,1
2634,Aquanox Deep Descent,2017,0,0,0,1,0,6,803,0,0.0,3,1,3
2635,Pool Nation,Oct 18 2013,0,7,0,3,2372,19,227415,164822,9.99,5,1,2
2636,Obscure,Mar 10 2014,0,0,63,1,351,10,41609,24750,6.99,2,1,2
2637,Obscure II (Obscure: The Aftermath),Mar 10 2014,0,0,59,1,149,12,33359,10044,9.99,2,1,2
2638,Theme Park Studio,Feb 27 2014,0,0,0,6,366,11,17397,16321,29.99,3,1,1
2639,Warhammer 40000: Storm of Vengeance,Apr 3 2014,0,5,0,1,206,5,14169,9326,2.99,1,1,2
2640,Shadow Warrior,Sep 26 2013,18,1,73,3,10697,5,0,0,39.99,2,3,1
2641,resident evil 4 / biohazard 4,Feb 27 2014,16,0,79,2,6006,19,663235,427928,19.99,2,1,1
2642,Ground Control Anthology,Jul 8 2015,0,0,86,1,0,5,12196,4484,4.99,1,1,3
2643,Ground Control II: Operation Exodus,Jul 8 2015,0,0,80,1,0,10,15065,5919,4.99,1,1,3
2644,Lords of the Realm III,Dec 3 2015,0,0,65,1,0,10,13810,5739,4.99,2,1,1
2645,MoonBase Commander,Feb 6 2014,0,0,77,2,0,8,14707,8250,5.99,1,1,2
2646,Lords of the Realm,Dec 3 2015,0,0,0,1,0,5,13093,3408,1.99,1,1,1
2647,Silent Storm Gold Edition,Oct 2 2013,0,0,83,1,388,20,101871,51473,9.99,3,1,1
2648,Echo Prime,Jan 28 2014,0,0,0,1,104,6,8071,4663,4.99,3,1,1
2649,Abyss Odyssey,Jul 15 2014,13,1,69,8,1752,6,285345,141866,14.99,3,1,3
2650,Call of Duty(r): Ghosts - Digital Hardened Edition,Nov 4 2013,17,0,0,14,0,6,0,0,99.99,1,1,2
2651,GRID Autosport,Jun 26 2014,0,12,78,2,5027,11,520114,424700,39.99,2,3,2
2652,Pro Cycling Manager 2014,Jun 19 2014,0,0,0,1,206,7,29951,28517,14.99,1,1,2
2653,1954 Alcatraz,Mar 11 2014,0,0,0,1,477,16,127518,45555,19.19,2,1,1
2654,Journey of a Roach,Nov 4 2013,0,0,65,1,734,14,130387,59185,14.99,2,3,1
2655,Edna & Harvey: The Breakout,Oct 25 2013,0,0,0,2,494,15,196567,80887,14.99,2,1,0
2656,Escape Goat 2,Mar 24 2014,0,0,76,2,242,12,49500,21881,9.99,3,3,2
2657,KickBeat Steam Edition,Jan 20 2014,0,0,0,4,676,14,199795,67794,9.99,2,1,1
2658,Max: The Curse of Brotherhood,May 21 2014,0,0,0,1,708,5,44658,25647,14.99,1,1,1
2659,Magic 2015 - Duels of the Planeswalkers,Jul 16 2014,0,8,60,1,3934,15,310095,277095,9.99,1,1,2
2660,NBA 2K14,Oct 1 2013,0,0,0,1,2296,8,166795,158904,29.99,0,1,3
2661,Entropy,Dec 9 2013,0,0,0,2,454,8,23136,21701,19.99,6,3,2
2662,Viscera Cleanup Detail: Shadow Warrior,Oct 11 2013,0,0,0,1,1435,7,1250963,354933,0.0,2,1,1
2663,Cities: Skylines,Mar 10 2015,0,5,85,2,28743,11,2968056,2829957,29.99,2,3,2
2664,PixelJunk(tm) Shooter,Nov 11 2013,0,0,73,1,408,10,144735,67794,8.99,1,3,2
2665,The 7th Guest,Oct 18 2013,0,0,0,1,259,10,95952,30310,5.99,1,3,1
2666,The 11th Hour,Oct 18 2013,0,0,0,1,0,11,80707,13451,5.99,1,2,1
2667,Bad Mojo Redux,Jul 3 2014,0,0,74,1,0,10,16680,3587,5.99,2,1,1
2668,Jagged Alliance Flashback,Oct 21 2014,0,0,0,1,624,10,28517,21701,19.99,3,3,2
2669,Shadows: Heretic Kingdoms,Nov 20 2014,0,1,74,3,306,24,23495,20446,19.99,2,1,1
2670,Adventure Park,Nov 8 2013,0,0,49,1,154,9,21163,9506,19.99,2,1,1
2671,Truck Racer,Oct 18 2013,0,0,0,1,142,8,25288,11478,9.99,1,1,2
2672,Enemy Front,Jun 10 2014,0,1,52,2,1781,9,145094,114604,29.99,1,1,2
2673,Child of Light,Apr 29 2014,0,7,77,4,7775,7,647273,459494,14.99,1,1,2
2674,WRC 4 FIA World Rally Championship,Oct 25 2013,0,0,0,1,759,11,68691,50218,29.99,1,1,2
2675,MXGP - The Official Motocross Videogame,Mar 28 2014,0,0,0,3,633,7,42685,38381,19.99,3,1,2
2676,MotoGP(tm)14,Jun 20 2014,0,4,76,2,326,20,17935,12734,29.99,3,1,2
2677,Might & Magic: Duel of Champions,Nov 7 2013,0,0,84,1,3751,8,0,0,0.0,2,1,2
2678,Monsters & Munitions, ,0,0,0,1,0,13,0,0,0.0,3,1,1
2679,Cosmic Star Heroine,Coming Soon,0,0,0,1,0,21,0,0,0.0,2,1,1
2680,CSX ES44AC Add-on Livery,Jan 1 2009,0,0,0,0,0,6,0,0,4.99,1,1,1
2681,CSX SD70MAC Add-on Livery,Jan 1 2009,0,0,0,0,0,7,0,0,4.99,1,1,1
2682,Project Nimbus,Nov 5 2014,0,0,0,5,540,43,23853,19190,14.99,3,2,1
2683,Darkout,Dec 4 2013,0,0,55,2,683,15,101153,48066,3.74,3,1,1
2684,Not The Robots,Dec 12 2013,0,0,0,1,484,40,125365,76762,9.99,3,3,1
2685,Rebuild 3: Gangs of Deadsville,May 29 2015,0,0,75,1,629,20,54881,52729,14.99,3,2,1
2686,Secret Files: Sam Peters,Oct 18 2013,0,0,0,0,0,5,17038,7353,9.99,1,1,1
2687,Inherit the Earth: Quest for the Orb,Nov 26 2014,0,0,0,1,0,12,10761,2511,5.99,2,3,1
2688,Baldurs Gate II: Enhanced Edition,Nov 15 2013,0,1,78,3,1495,8,401205,267410,19.99,2,3,3
2689,Fuse,Mar 28 2014,0,1,0,3,1018,27,343813,207687,0.0,1,2,0
2690,The Talos Principle,Dec 11 2014,0,5,85,3,9446,8,744121,555804,39.99,3,3,2
2691,LogoMaker 4,Dec 4 2013,0,0,0,1,0,9,3587,2870,29.99,1,1,0
2692,Blast Em!,Jan 22 2014,0,1,0,1,269,5,106534,12016,2.99,2,2,1
2693,Mosaico,Nov 26 2013,0,0,0,1,0,16,0,0,19.99,1,1,0
2694,Elder Sign: Omens,Nov 27 2013,0,0,0,1,163,6,14169,12016,14.99,3,3,1
2695,J.U.L.I.A.: Among the Stars,Sep 12 2014,0,1,71,1,516,15,26185,16141,19.99,2,3,1
2696,Max Gentlemen,Aug 21 2014,0,3,0,1,957,6,264899,126441,0.0,3,3,2
2697,Infinity Wars: Animated Trading Card Game,Sep 5 2014,0,4,0,3,2769,9,644044,366770,0.0,4,2,4
2698,Bloody Trapland,Nov 18 2013,0,0,0,2,2146,5,241046,213067,9.99,4,1,4
2699,Signal Ops,Nov 18 2013,0,0,61,1,0,8,10402,5919,9.99,3,2,3
2700,Riptide GP2,Mar 7 2014,0,0,0,1,301,10,38022,24212,6.99,5,1,2
2701,Violett Remastered,Dec 13 2013,0,0,61,1,514,10,127518,76044,0.99,2,3,1
2702,Hyper Light Drifter,Mar 31 2016,0,1,84,2,3942,10,244633,215758,19.99,4,3,3
2703,Eschalon: Book III,Feb 14 2014,0,0,67,1,0,5,21343,6277,14.99,3,3,1
2704,Frozen Hearth,Dec 19 2013,0,1,46,1,473,7,249475,112452,17.99,2,1,3
2705,Race To Mars,Mar 7 2014,0,0,0,2,183,8,8609,8250,19.99,4,2,1
2706,Loren The Amazon Princess,Jan 15 2014,18,2,0,1,385,12,77300,42327,19.99,2,3,1
2707,Oozi: Earth Adventure,Dec 5 2013,0,0,66,1,462,7,57392,36229,0.74,2,1,1
2708,Ring Runner: Flight of the Sages,Nov 19 2013,0,0,75,1,548,12,142583,76762,4.99,3,1,3
2709,EARTHLOCK: Festival of Magic,Sep 27 2016,0,0,0,1,0,11,7353,5022,0.0,3,2,1
2710,Survivor Squad,Jan 21 2015,0,1,0,4,747,10,135947,88599,8.99,3,3,2
2711,Probability 0,Jun 12 2014,0,0,0,1,0,15,19549,6636,6.99,2,2,1
2712,99 Spirits,Nov 12 2013,0,3,0,2,321,10,76224,43761,9.99,3,1,1
2713,Deus Ex: The Fall,Mar 17 2014,17,0,45,1,2396,6,498592,128594,9.99,3,1,1
2714,Talisman: Prologue,Oct 14 2013,0,0,0,1,279,6,234231,99001,6.99,3,1,1
2715,Blood Knights,Nov 13 2013,0,0,0,3,501,13,59365,29951,9.99,2,1,2
2716,Tank Operations: European Campaign,Nov 22 2013,0,0,0,1,0,11,46990,10761,9.99,2,1,1
2717,The Vanishing of Ethan Carter,Sep 25 2014,0,2,82,3,6107,5,542532,280144,19.99,2,1,1
2718,Adventure Time: Finn and Jakes Epic Quest,Apr 11 2014,0,0,0,1,409,9,24750,22239,9.99,2,1,1
2719,Train Simulator: NEC: New York-New Haven Route Add-On,Apr 10 2014,0,0,0,0,0,15,0,0,29.99,1,1,1
2720,Scania Truck Driving Simulator,Feb 27 2014,0,0,0,2,523,15,390444,166078,11.99,2,1,1
2721,Professional Farmer 2014,Nov 27 2013,0,2,0,3,507,20,218448,161235,14.99,1,1,1
2722,Type:Rider,Nov 6 2013,0,0,0,1,1246,7,169306,75327,4.99,2,3,1
2723,Citizens of Earth,Jan 20 2015,0,0,66,3,195,8,96669,29772,14.99,1,1,1
2724,Montagues Mount,Nov 19 2013,0,0,39,1,378,6,67794,31027,9.99,2,3,1
2725,Gauntlet(tm) Slayer Edition,Sep 23 2014,0,1,0,2,4726,15,678300,592392,19.99,3,1,3
2726,Dead Pixels II,To Be Announced.,0,0,0,1,0,10,0,0,0.0,3,3,3
2727,Dragons Prophet,Sep 18 2013,0,2,63,0,704,20,267052,131105,0.0,4,1,1
2728,Dominions 4: Thrones of Ascension,Dec 5 2013,0,0,0,1,877,12,63310,54343,34.99,2,3,3
2729,Just Cause 2: Multiplayer Mod,Dec 16 2013,17,0,0,1,11479,9,1670283,1670283,0.0,2,1,2
2730,Wasteland 1 - The Original Classic,Nov 13 2013,0,0,0,1,205,5,560467,114066,5.99,4,3,1
2731,Alone in the Dark,Oct 29 2013,17,0,55,0,336,10,45734,11299,9.99,2,1,1
2732,Alone in the Dark: The New Nightmare,Oct 29 2013,17,0,66,0,150,5,16859,7174,6.99,2,1,1
2733,Heli Heroes,Nov 1 2013,0,0,0,1,154,7,186524,17218,4.99,2,1,2
2734,Chicken Shoot Gold,Nov 1 2003,0,0,0,1,177,20,76941,12016,6.99,3,2,2
2735,Ballpoint Universe - Infinite,Dec 17 2013,0,0,0,1,586,9,122675,66539,3.99,2,3,1
2736,Sneaky Sneaky,Nov 12 2014,0,1,63,1,225,17,12554,9506,4.99,5,2,1
2737,Zigfrak,Dec 13 2013,0,0,0,3,218,20,28517,20625,7.99,3,3,1
2738,Drifter,Mar 4 2014,0,0,0,1,143,8,9326,7533,11.99,4,3,1
2739,Particulars,Nov 19 2014,0,0,74,2,0,12,30310,15783,14.99,1,3,1
2740,Beast Boxing Turbo,Nov 19 2013,0,0,0,1,243,9,32104,12016,4.99,3,2,1
2741,Shufflepuck Cantina Deluxe,Dec 6 2013,0,0,0,4,454,5,52191,34256,9.99,3,3,1
2742,Savant - Ascent,Dec 4 2013,0,0,0,1,2355,6,218268,104023,1.99,2,3,1
2743,Hero of the Kingdom,Nov 14 2013,0,0,0,1,1822,9,116398,71202,5.99,4,3,1
2744,EDEN STAR,Jan 30 2015,0,0,0,2,517,13,33000,29951,19.99,5,1,3
2745,Finding Teddy,Dec 3 2013,0,1,0,1,723,8,102588,55240,6.99,2,3,1
2746,3079 -- Block Action RPG,Nov 14 2013,0,0,0,1,377,6,45734,32283,4.99,3,3,3
2747,Guise Of The Wolf,Jan 24 2014,0,0,0,1,177,14,16859,9326,6.99,3,1,1
2748,Void Destroyer,Jan 20 2015,0,2,0,2,243,38,26364,24033,12.99,5,1,1
2749,Tales of MajEyal,Dec 12 2013,0,2,0,7,1667,22,150116,111735,6.99,3,3,1
2750,Dead Sky,Nov 22 2013,0,0,0,2,226,6,29593,15245,4.99,2,3,3
2751,Fading Hearts,Feb 5 2014,0,0,0,1,211,5,19370,17218,14.99,3,3,1
2752,Nightmares from the Deep: The Cursed Heart,Feb 5 2014,0,0,0,1,862,8,109224,65821,2.99,2,3,1
2753,Two Brothers,Dec 3 2013,0,0,57,1,139,5,114066,14707,0.0,4,1,2
2754,Nimble Quest,Dec 6 2013,0,0,0,1,716,5,50756,38560,4.99,3,3,1
2755,Home Sheep Home 2,Feb 17 2014,0,0,0,1,0,6,23674,4663,9.99,4,1,1
2756,Wooden SenSeY,Dec 5 2013,0,1,0,2,0,5,31745,13451,9.99,2,3,1
2757,OMG Zombies!,Feb 13 2014,0,0,0,1,304,9,28158,18832,4.99,2,1,1
2758,Agricultural Simulator: Historical Farming,Nov 6 2013,0,0,0,2,222,20,109941,27799,9.99,1,1,1
2759,Farming Giant,Nov 6 2013,0,0,0,1,168,12,33538,21881,9.99,1,1,1
2760,YOU DONT KNOW JACK Vol. 2,Nov 5 2013,0,0,0,1,0,9,69946,8071,2.99,2,1,2
2761,YOU DONT KNOW JACK Vol. 3,Nov 5 2013,0,0,0,1,0,12,70126,5739,2.99,2,1,2
2762,YOU DONT KNOW JACK Vol. 4 The Ride,Nov 5 2013,0,0,0,1,0,13,69767,9326,2.99,2,1,2
2763,YOU DONT KNOW JACK MOVIES,Nov 5 2013,0,0,0,1,0,6,69767,14527,2.99,2,1,2
2764,YOU DONT KNOW JACK SPORTS,Nov 5 2013,0,0,0,1,0,7,68153,4842,2.99,2,1,2
2765,YOU DONT KNOW JACK TELEVISION,Nov 5 2013,0,0,0,1,0,5,68512,6815,2.99,2,1,2
2766,YOU DONT KNOW JACK HEADRUSH,Nov 5 2013,0,0,0,1,0,8,68332,6815,2.99,2,1,2
2767,YOU DONT KNOW JACK Vol. 6 The Lost Gold,Nov 5 2013,0,0,0,1,0,10,0,0,1.99,2,1,2
2768,Agarest: Generations of War Zero,Apr 17 2014,0,7,0,1,274,17,69408,36229,19.99,3,1,1
2769,The Last Tinker(tm): City of Colors,May 12 2014,0,0,72,2,339,8,39816,19011,19.99,3,3,1
2770,Marc Eckos Getting Up: Contents Under Pressure,Dec 13 2013,0,0,69,0,531,8,52908,28696,14.99,2,1,1
2771,Assassins Creed(r) Liberation HD,Jan 15 2014,17,1,0,1,1161,7,163746,96669,19.99,2,1,1
2772,Valiant Hearts: The Great War(tm) / Soldats Inconnus : Memoires de la Grande Guerre(tm),Jun 25 2014,0,0,0,1,11294,9,473662,351705,14.99,1,1,1
2773,Blood of the Werewolf,Oct 28 2013,0,0,65,2,543,23,66359,44120,1.99,2,1,1
2774,Shadows: Price For Our Sins Bonus Edition,Oct 24 2013,0,0,0,1,109,15,44120,9506,9.99,2,1,1
2775,Company of Heroes 2 - The Western Front Armies,Jun 23 2014,17,0,80,4,0,10,0,0,0.0,1,3,2
2776,Flockers(tm),Sep 19 2014,13,0,66,2,109,10,38022,17756,19.99,3,3,2
2777,Ninja Cats vs Samurai Dogs,Feb 21 2014,0,0,0,1,0,5,9506,2511,4.99,2,1,1
2778,Get Off My Lawn!,Nov 11 2014,0,0,0,1,1400,7,362107,156752,0.0,3,2,1
2779,The Four Kings Casino and Slots,Jun 1 2015,0,0,0,1,2523,16,353139,196567,0.0,4,2,2
2780,World Basketball Tycoon,Nov 18 2013,0,0,0,1,0,12,14169,5022,9.99,1,1,1
2781,So Many Me,Jul 17 2014,0,0,78,1,0,12,4125,2511,14.99,3,3,1
2782,Haunted,Aug 18 2014,0,0,76,1,0,15,13989,5919,14.99,2,1,1
2783,Gray Matter,Apr 1 2014,0,0,72,0,300,26,52549,25647,9.99,2,1,1
2784,Cold War,Jan 8 2014,0,0,64,2,154,10,32821,11120,4.99,1,1,1
2785,Dark Fall: The Journal,Dec 3 2013,0,0,68,1,0,8,71381,18832,4.99,1,1,1
2786,Dark Fall 2: Lights Out,Dec 3 2013,0,0,66,1,0,9,69767,7891,4.99,1,1,1
2787,Desperados: Wanted Dead or Alive,Nov 20 2013,0,0,78,1,415,8,94338,50756,4.99,2,1,1
2788,Neighbours from Hell Compilation,Nov 7 2013,0,0,69,1,634,14,140789,53626,9.99,2,1,1
2789,1001 Spikes,Jun 3 2014,0,0,80,3,398,10,92186,38201,14.99,3,3,2
2790,Odesi Music Composition,Mar 15 2016,0,0,0,1,0,6,1077,1077,49.99,1,1,0
2791,The Walking Dead: Season 2,Dec 17 2013,17,0,0,6,17525,15,1136000,748605,24.99,1,2,1
2792,Killer is Dead - Nightmare Edition,May 23 2014,0,0,0,1,2398,5,315835,170920,19.99,1,1,1
2793,Lethal League,Aug 27 2014,0,0,82,1,3407,10,493570,354933,13.99,3,3,2
2794,Steam Bandits: Outpost,Jan 14 2014,0,0,0,2,0,10,12734,3587,19.99,5,3,2
2795,Episode 1 - A Boy Learns What Fear Is,Jan 6 2014,0,0,0,0,0,5,0,0,3.99,2,1,1
2796,Distant Worlds: Universe,May 23 2014,0,0,81,2,743,10,58647,53446,59.99,2,1,1
2797,Bedlam,Oct 13 2015,0,0,54,1,289,19,29951,15245,3.24,2,2,1
2798,Tesla Effect: A Tex Murphy Adventure,May 8 2014,0,0,68,2,756,22,347221,56316,19.99,2,2,1
2799,Lifeless Planet Premier Edition,Jun 6 2014,0,0,59,1,2165,15,108506,70484,19.99,3,2,1
2800,Ori and the Blind Forest,Mar 10 2015,0,0,88,4,18387,30,781067,600462,0.0,1,1,1
2801,Basketball Pro Management 2014,Jan 6 2014,0,0,0,0,0,10,6995,3587,0.0,2,1,1
2802,Borderlands: The Pre-Sequel,Oct 13 2014,17,6,75,5,12876,8,1708843,1446992,39.99,2,3,2
2803,Journal,Feb 17 2014,0,0,59,0,301,6,16141,8967,9.99,2,3,1
2804,Eryis Action,Nov 19 2013,0,0,0,1,1098,11,55060,37843,4.99,2,2,1
2805,Holy Avatar vs. Maidens of the Dead,Feb 20 2014,0,0,0,1,0,5,65821,9506,9.99,5,1,1
2806,Humans Must Answer,Jan 16 2014,0,0,55,1,0,12,13093,4125,5.99,2,1,1
2807,Lichdom: Battlemage,Aug 26 2014,0,0,69,2,1797,14,259340,180784,39.99,3,1,1
2808,Corporate Lifestyle Simulator,Mar 12 2014,0,1,0,1,378,13,68512,24750,4.99,3,1,1
2809,The Real Texas,Jul 12 2016,0,1,74,2,0,14,2152,535,14.99,4,2,1
2810,Catzilla 4K - Advanced,Feb 28 2014,0,0,0,1,0,11,4842,4484,14.99,1,1,1
2811,The Mysterious Cities of Gold,Nov 20 2013,0,0,0,1,0,10,42865,5201,11.99,3,1,1
2812,Cube & Star: An Arbitrary Love,Feb 14 2014,0,0,0,1,112,10,32104,8071,4.99,3,3,1
2813,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,Oct 15 2014,0,0,74,2,373,12,28875,18652,19.99,1,2,1
2814,Darkest Dungeon,Jan 19 2016,0,1,84,3,16036,25,994493,950194,24.99,3,3,1
2815,Iron Soul,Feb 26 2014,0,0,0,1,0,7,11658,5560,4.99,2,1,1
2816,Trench Run,Apr 7 2016,0,0,0,2,0,8,13272,2690,7.99,3,3,2
2817,Toy Soldiers: Complete,Feb 17 2016,0,0,0,3,488,9,57392,47348,14.99,5,1,3
2818,Vanguard Princess,Mar 3 2014,0,5,0,1,2358,5,251089,173610,4.99,3,3,2
2819,Zombeer,Jan 30 2015,17,0,32,1,106,23,3946,2870,9.99,1,1,1
2820,Last Knight: Rogue Rider Edition,Oct 3 2014,0,0,0,4,168,31,27261,17218,7.99,4,2,1
2821,SUGURI,Jul 1 2014,0,0,0,1,0,40,26185,15424,5.99,2,1,1
2822,JetsnGuns Gold,Feb 5 2014,0,0,0,1,741,11,77658,52011,6.99,2,3,1
2823,Dungeons 2,Apr 24 2015,0,4,70,4,1360,16,207866,138996,29.99,3,3,2
2824,Tsukumogami,May 31 2012,0,0,0,1,0,10,76224,7712,29.99,3,1,1
2825,Cloudbuilt,Mar 20 2014,0,2,72,1,647,15,87881,59185,19.99,2,1,2
2826,World of Guns: Gun Disassembly,May 21 2014,0,11,0,5,8724,18,2187348,1490395,0.0,3,3,1
2827,Dead Mans Draw,Feb 6 2014,0,0,0,1,284,7,22239,11837,6.99,2,1,1
2828,Rollers of the Realm,Nov 18 2014,0,0,68,3,268,5,33000,18294,9.99,5,1,1
2829,Manga Maker Comipo,Mar 7 2014,0,9,0,1,377,16,18114,14527,49.99,1,1,1
2830,CRIMSON ROOM(r) DECADE,Jun 9 2016,0,0,0,1,0,9,717,533,9.99,2,2,1
2831,Gunman Clive,Jan 3 2014,0,0,0,1,643,5,50397,26185,1.99,2,1,1
2832,Chucks Challenge 3D,Feb 28 2014,0,2,0,3,146,9,21343,13631,3.99,1,3,2
2833,Liquid Rhythm,Mar 28 2014,0,6,0,8,0,7,0,0,2.99,1,2,1
2834,Tom vs. The Armies of Hell,Jul 27 2016,0,0,0,2,0,10,0,0,12.99,3,2,1
2835,RaySupreme 3D,Dec 16 2013,0,0,0,1,0,6,4125,897,39.99,1,3,0
2836,Little Racers STREET,Feb 6 2014,0,0,0,1,585,7,89675,53087,7.99,3,3,2
2837,GoD Factory: Wingmen,Aug 29 2014,0,0,76,3,291,20,40533,19728,19.99,4,3,1
2838,Freedom Fall,Jan 10 2014,0,0,0,1,331,7,33359,20267,9.99,3,2,1
2839,Our Darker Purpose,Jan 29 2014,0,1,74,1,570,7,72637,46810,14.99,3,1,1
2840,Crimsonland,Jun 11 2014,0,0,68,1,964,14,116577,71740,13.99,3,3,3
2841,The Journey Down: Chapter Two,Aug 25 2014,0,0,78,1,190,9,25647,12016,10.99,2,3,1
2842,Recovery Search & Rescue Simulation,Jan 9 2014,0,0,0,1,0,6,10044,1793,14.99,1,1,1
2843,Smooth Operators,Jun 10 2014,0,0,0,1,237,18,38022,29593,2.99,4,1,1
2844,Super Chain Crusher Horizon,Sep 2014,0,0,0,1,0,5,23136,8967,14.99,2,1,2
2845,Broken Sword 5 - the Serpents Curse,Dec 4 2013,0,0,0,1,1205,9,157648,99539,24.99,1,3,1
2846,Castle In The Darkness,Feb 5 2015,0,0,76,1,727,6,39995,29951,9.99,4,1,1
2847,C-RUSH,Feb 17 2014,0,0,0,1,0,5,23315,3946,1.99,2,1,1
2848,STARWHAL,Sep 29 2014,0,1,0,2,533,9,83936,60261,11.99,4,3,2
2849,Bot Colony,Jun 16 2014,0,0,0,4,0,12,1076,1076,0.0,5,1,1
2850,Blockstorm,May 21 2015,0,0,0,1,4368,37,287318,228671,4.99,2,3,2
2851,Pixel Boy and the Ever Expanding Dungeon,May 30 2014,0,0,0,2,191,16,34435,24033,4.99,3,3,1
2852,9.03m,Nov 20 2013,0,0,0,1,860,6,30489,14886,0.99,1,1,1
2853,Ludwig,Jun 6 2014,0,0,0,1,0,17,35511,4304,9.99,3,1,1
2854,Postmortem: One Must Die (Extended Cut),Dec 3 2013,0,0,0,2,149,8,56854,10940,2.99,3,1,1
2855,Squirts Adventure,Mar 5 2014,0,0,0,2,0,8,0,0,4.99,3,2,1
2856,Signs of Life,Jan 27 2014,0,0,0,1,464,9,51294,34435,9.99,6,1,3
2857,SPINTIRES(tm),Jun 12 2014,0,0,67,1,12204,11,855318,808867,29.99,3,1,3
2858,BlazBlue: Calamity Trigger,Feb 13 2014,0,0,0,2,1617,15,180605,130028,9.99,1,1,2
2859,Saturday Morning RPG,Jan 29 2014,0,1,0,1,379,14,83577,50039,0.69,2,3,1
2860,Continue?9876543210,Jan 3 2014,0,0,62,2,166,17,19011,8967,9.99,3,3,1
2861,3089 -- Futuristic Action RPG,Jan 10 2014,0,0,0,2,468,9,59544,40174,6.99,3,3,2
2862,Driftmoon,Jan 3 2014,0,0,73,1,183,8,36229,11837,14.99,3,1,2
2863,War of the Human Tanks,Jan 10 2014,0,1,0,3,401,10,53805,34256,9.99,3,1,1
2864,Probably Archery,Feb 6 2014,0,0,0,1,360,8,60082,40174,4.99,4,3,3
2865,Girls Like Robots,Feb 14 2014,0,0,0,1,128,14,32642,19549,6.99,3,3,1
2866,Final Rush,Nov 21 2014,0,0,0,1,151,14,11120,6815,4.99,2,1,3
2867,Dragons and Titans,Mar 12 2014,0,1,43,1,2644,5,1162006,571408,0.0,5,3,3
2868,Enola,Sep 18 2014,0,0,0,2,0,12,19011,8967,14.99,3,2,1
2869,Villagers and Heroes,Apr 17 2014,0,4,0,3,2546,20,691751,388292,0.0,4,1,1
2870,Paper Sorcerer,Jan 22 2014,0,0,73,1,457,24,70664,41430,4.99,3,1,1
